,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,4_years,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
377,78,192,2018,36:46,10.81,24.47,4.85,13.18,9.67,11.0,0.85,5.79,6.64,7.51,2.03,0.74,4.96,3.13,36.13,0.442,0.368,0.879,1,James,Harden,G,6.0,5.0,220.0,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
378,73,199,2018,19:34,2.52,5.84,0.33,1.22,1.12,1.68,0.45,2.59,3.04,1.9,1.22,0.41,0.82,1.7,6.49,0.432,0.27,0.667,1,Shaquille,Harrison,G,6.0,4.0,190.0,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
379,58,207,2018,13:59,2.64,5.09,0.26,0.67,1.72,2.48,2.02,3.34,5.36,1.03,0.28,0.34,1.0,1.69,7.26,0.519,0.385,0.694,1,Willy,Hernangomez,C,6.0,11.0,240.0,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
380,75,229,2018,26:38,3.49,8.15,1.15,3.55,1.47,1.8,1.32,4.16,5.48,1.07,0.79,1.31,1.0,1.91,9.6,0.429,0.323,0.815,1,Jonathan,Isaac,F,6.0,10.0,210.0,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
381,55,242,2018,21:09,2.98,6.89,0.91,2.71,0.91,1.27,0.4,2.8,3.2,2.45,0.64,0.49,1.35,2.07,7.78,0.433,0.336,0.714,1,James,Johnson,F,6.0,8.0,240.0,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
382,52,297,2018,32:21,6.58,15.29,2.31,6.38,3.27,3.75,1.42,7.62,9.04,1.44,0.71,0.63,1.63,2.35,18.73,0.43,0.361,0.872,1,Lauri,Markkanen,F,7.0,0.0,240.0,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
383,77,315,2018,31:04,6.57,14.91,2.32,6.16,2.81,3.35,0.65,5.34,5.99,4.3,1.04,0.09,2.26,2.23,18.27,0.441,0.378,0.837,1,Khris,Middleton,F,6.0,8.0,222.0,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
384,77,322,2018,33:45,8.58,19.87,2.44,6.74,4.14,5.14,0.77,3.34,4.1,4.18,1.38,0.4,2.83,2.7,23.75,0.432,0.362,0.806,1,Donovan,Mitchell,G,6.0,3.0,215.0,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
385,73,324,2018,17:13,3.11,8.03,1.49,4.52,1.23,1.4,0.22,1.66,1.88,1.6,0.51,0.26,1.18,1.45,8.95,0.387,0.33,0.882,1,Malik,Monk,G,6.0,3.0,200.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
386,43,347,2018,21:01,2.21,6.56,0.77,2.67,0.53,0.7,0.28,1.74,2.02,2.81,0.7,0.33,1.3,2.42,5.72,0.337,0.287,0.767,1,Frank,Ntilikina,G,6.0,6.0,200.0,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
387,36,357,2018,31:51,6.92,16.33,2.06,6.0,2.86,3.92,0.58,5.03,5.61,5.17,1.67,0.31,2.28,2.0,18.75,0.423,0.343,0.73,1,Victor,Oladipo,G,6.0,4.0,210.0,16,MIA,Miami,East,Southeast,Miami Heat,Heat
388,60,380,2018,18:48,3.22,6.67,1.13,2.83,1.03,1.25,0.27,2.05,2.32,1.52,0.65,0.22,1.08,1.6,8.6,0.483,0.4,0.827,1,Norman,Powell,F-G,6.0,4.0,215.0,13,LAC,LA,West,Pacific,LA Clippers,Clippers
389,73,391,2018,34:47,5.79,14.05,2.25,6.3,2.73,3.16,0.74,2.86,3.6,4.08,1.07,0.47,1.55,2.74,16.56,0.412,0.357,0.861,1,Josh,Richardson,G-F,6.0,6.0,200.0,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
390,79,403,2018,22:40,3.27,8.43,1.51,4.27,0.92,1.18,0.41,3.48,3.89,2.92,0.86,0.27,0.86,1.28,8.96,0.387,0.353,0.785,1,Terry,Rozier,G,6.0,1.0,190.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
391,68,404,2018,27:58,4.34,10.74,1.16,3.74,2.87,3.35,0.49,3.09,3.57,6.12,1.34,0.15,2.65,2.65,12.71,0.404,0.311,0.855,1,Ricky,Rubio,G,6.0,4.0,190.0,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
392,53,421,2018,28:26,5.25,12.26,1.26,3.92,1.87,2.94,0.6,2.32,2.92,4.75,1.26,0.38,2.91,2.43,13.62,0.428,0.322,0.635,1,Dennis,Smith Jr.,G,6.0,3.0,195.0,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
393,79,434,2018,31:03,5.9,13.11,1.47,3.94,2.47,2.89,0.89,5.15,6.04,2.13,1.06,0.72,1.54,2.13,15.73,0.45,0.373,0.855,1,Jayson,Tatum,F,6.0,8.0,208.0,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
