index  PLAYER	2022/23 	2022/23(*)
275.	Corey Kispert	$3,552,840	$3,658,330
276.	AJ Griffin	$3,536,160	$3,641,154
277.	Goran Dragic	$3,523,762	$3,628,387
278.	Mike Muscala	$3,500,000	$3,603,921
279.	Georges Niang	$3,465,000	$3,567,882
280.	Chuma Okeke	$3,433,320	$3,535,261
280.	Isaiah Stewart	$3,433,320	$3,535,261
282.	Trey Burke	$3,423,750	$3,525,407
283.	Amir Coffey	$3,395,062	$3,495,867
284.	Alperen Sengun	$3,375,360	$3,475,580
285.	Tari Eason	$3,359,160	$3,458,899
286.	Aleksej Pokusevski	$3,261,480	$3,358,319
287.	Kevin Porter	$3,217,631	$3,313,168
288.	Trey Murphy	$3,206,520	$3,301,727
289.	Simone Fontecchio	$3,205,128	$3,300,293
290.	Andre Drummond	$3,200,000	$3,295,013
290.	Derrick Jones	$3,200,000	$3,295,013
292.	Dalen Terry	$3,191,400	$3,286,158
293.	Sterling Brown	$3,122,602	$3,215,317
294.	Josh Green	$3,098,400	$3,190,397
295.	Jake LaRavia	$3,047,640	$3,138,129
296.	Tre Mann	$3,046,200	$3,136,647
297.	Kevin Knox	$3,000,000	$3,089,075
298.	Saddiq Bey	$2,959,080	$3,046,940
299.	Malaki Branham	$2,925,600	$3,012,466
300.	Joe Wieskamp	$2,909,261	$2,995,641
301.	Kai Jones	$2,909,040	$2,995,414
302.	Taj Gibson	$2,905,851	$2,992,130
302.	Bismack Biyombo	$2,905,851	$2,992,130
302.	Austin Rivers	$2,905,851	$2,992,130
302.	Wesley Matthews	$2,905,851	$2,992,130
302.	Udonis Haslem	$2,905,851	$2,992,130
302.	Serge Ibaka	$2,905,851	$2,992,130
302.	Andre Iguodala	$2,905,851	$2,992,130
302.	Markieff Morris	$2,905,851	$2,992,130
302.	Robin Lopez	$2,905,851	$2,992,130
302.	Blake Griffin	$2,905,851	$2,992,130
312.	RJ Hampton	$2,898,243	$2,984,296
313.	Andrew Nicholson	$2,844,429	$2,928,885
314.	Precious Achiuwa	$2,840,160	$2,924,489
315.	Christian Braun	$2,808,600	$2,891,992
316.	Jordan Nwora	$2,800,000	$2,883,136
317.	Jalen Johnson	$2,792,640	$2,875,558
318.	Tyrese Maxey	$2,726,880	$2,807,845
319.	Bruno Fernando	$2,717,391	$2,798,075
320.	Walker Kessler	$2,696,400	$2,776,460
321.	Keon Johnson	$2,681,040	$2,760,644
322.	Charles Bassey	$2,674,742	$2,754,159
323.	Dennis Schroeder	$2,641,682	$2,720,118
324.	Matthew Dellavedova	$2,628,597	$2,706,644
324.	TJ Warren	$2,628,597	$2,706,644
326.	Trey Lyles	$2,625,000	$2,702,940
327.	Zeke Nnaji	$2,617,800	$2,695,527
328.	David Roddy	$2,588,640	$2,665,501
329.	Isaiah Jackson	$2,573,760	$2,650,179
330.	MarJon Beauchamp	$2,485,200	$2,558,990
331.	Usman Garuba	$2,471,160	$2,544,533
332.	Montrezl Harrell	$2,463,490	$2,536,635
332.	Frank Kaminsky	$2,463,490	$2,536,635
332.	Raul Neto	$2,463,490	$2,536,635
335.	Willy Hernangomez	$2,443,581	$2,516,135
336.	Theo Maledon	$2,408,891	$2,480,414
337.	Blake Wesley	$2,385,480	$2,456,309
338.	Josh Christopher	$2,372,160	$2,442,593
339.	Isaiah Roby	$2,330,681	$2,399,882
340.	Lindy Waters III	$2,316,876	$2,385,668
341.	Immanuel Quickley	$2,316,240	$2,385,013
342.	Wendell Moore	$2,306,520	$2,375,004
343.	John Konchar	$2,300,000	$2,368,291
344.	Damian Jones	$2,298,385	$2,366,628
344.	Juan Hernangomez	$2,298,385	$2,366,628
344.	Bryn Forbes	$2,298,385	$2,366,628
344.	Rodney McGruder	$2,298,385	$2,366,628
348.	Quentin Grimes	$2,277,000	$2,344,608
349.	Saben Lee	$2,266,640	$2,333,938
350.	Andrew Nembhard	$2,244,111	$2,310,742
351.	Nikola Jovic	$2,239,920	$2,306,427
352.	Payton Pritchard	$2,239,200	$2,305,685
353.	Vlatko Cancar	$2,234,359	$2,300,701
354.	Patrick Baldwin	$2,226,000	$2,292,093
355.	TyTy Washington	$2,210,040	$2,275,660
356.	Bones Hyland	$2,201,520	$2,266,887
357.	Bol Bol	$2,200,000	$2,265,321
358.	Peyton Watson	$2,193,960	$2,259,102
359.	Marquese Chriss	$2,193,920	$2,259,061
360.	Udoka Azubuike	$2,174,880	$2,239,456
361.	Jaden McDaniels	$2,161,440	$2,225,616
362.	Jordan McLaughlin	$2,160,000	$2,224,134
363.	Malachi Flynn	$2,145,720	$2,209,430
364.	Cam Thomas	$2,138,160	$2,201,645
365.	Juan Toscano-Anderson	$2,133,278	$2,196,618
365.	Damion Lee	$2,133,278	$2,196,618
365.	Dennis Smith	$2,133,278	$2,196,618
365.	Luke Kornet	$2,133,278	$2,196,618
369.	Desmond Bane	$2,130,240	$2,193,490
370.	Jaden Springer	$2,125,200	$2,188,300
371.	Day'Ron Sharpe	$2,109,480	$2,172,114
372.	Santiago Aldama	$2,094,120	$2,156,298
373.	Frank Ntilikina	$2,036,318	$2,096,779
373.	Tony Bradley	$2,036,318	$2,096,779
375.	Caleb Houstan	$2,000,000	$2,059,383
375.	Kenrich Williams	$2,000,000	$2,059,383
375.	Jeremiah Robinson-Earl	$2,000,000	$2,059,383
375.	Jaylin Williams	$2,000,000	$2,059,383
375.	Garrison Mathews	$2,000,000	$2,059,383
380.	Shake Milton	$1,997,718	$2,057,033
381.	Drew Eubanks	$1,968,175	$2,026,613
381.	Josh Okogie	$1,968,175	$2,026,613
381.	Troy Brown	$1,968,175	$2,026,613
381.	Thomas Bryant	$1,968,175	$2,026,613
381.	Theo Pinson	$1,968,175	$2,026,613
381.	Edmond Sumner	$1,968,175	$2,026,613
381.	Yuta Watanabe	$1,968,175	$2,026,613
381.	Aaron Holiday	$1,968,175	$2,026,613
389.	Daniel Gafford	$1,930,681	$1,988,006
389.	Jalen McDaniels	$1,930,681	$1,988,006
389.	Naz Reid	$1,930,681	$1,988,006
389.	Jaylen Nowell	$1,930,681	$1,988,006
389.	Terance Mann	$1,930,681	$1,988,006
389.	Dean Wade	$1,930,681	$1,988,006
395.	Chimezie Metu	$1,910,860	$1,967,596
396.	KZ Okpala	$1,902,133	$1,958,610
396.	Davon Reed	$1,902,133	$1,958,610
398.	Killian Tillie	$1,901,625	$1,958,087
399.	Vernon Carey	$1,882,621	$1,938,519
400.	Keita Bates-Diop	$1,878,720	$1,934,502
